780.0,940.0,54.0,80.0
778.0,944.0,54.0,80.0
775.0,950.0,54.0,80.0
773.0,956.0,54.0,80.0
770.0,963.0,54.0,80.0
767.0,968.0,54.0,80.0
762.0,973.0,54.0,80.0
757.0,975.0,54.0,80.0
752.0,976.0,54.0,80.0
748.0,976.0,54.0,80.0
743.0,975.0,54.0,80.0
737.0,975.0,54.0,80.0
728.0,974.0,54.0,80.0
718.0,974.0,54.0,80.0
711.0,975.0,54.0,80.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7221.099792681339
